,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain
729,Bachelors,2015,Bangalore,1,28,Female,No,1
2392,Bachelors,2016,Bangalore,3,26,Male,No,4
2181,PHD,2017,Bangalore,3,27,Male,No,5
1926,Bachelors,2015,New Delhi,3,24,Male,No,2
1876,Masters,2014,Bangalore,3,27,Male,No,5
3049,Bachelors,2017,Bangalore,3,33,Male,No,2
1110,Bachelors,2014,Pune,3,24,Female,No,2
4166,Masters,2016,New Delhi,3,24,Male,No,2
3667,Bachelors,2014,Bangalore,3,35,Male,No,0
346,Bachelors,2012,Pune,2,27,Female,No,5
1779,Masters,2012,New Delhi,3,25,Male,No,3
3487,Masters,2014,Pune,3,36,Female,No,2
1515,Bachelors,2014,Bangalore,3,26,Male,No,4
4350,Masters,2017,Pune,2,33,Female,No,2
578,Bachelors,2015,Pune,3,28,Male,No,3
75,Bachelors,2015,Bangalore,3,40,Male,No,0
1429,Bachelors,2015,Bangalore,3,28,Male,No,0
3132,Bachelors,2012,Bangalore,3,41,Male,No,3
4129,Bachelors,2014,New Delhi,3,40,Female,No,3
2420,Bachelors,2017,Bangalore,3,30,Male,No,2
4607,PHD,2014,New Delhi,3,23,Male,No,1
3721,Masters,2014,New Delhi,3,32,Female,No,5
178,Bachelors,2014,New Delhi,3,24,Female,No,2
4162,Bachelors,2015,Bangalore,3,35,Female,No,0
3661,Bachelors,2016,Bangalore,3,38,Male,No,2
2236,Bachelors,2014,Pune,1,28,Male,No,1
2101,PHD,2017,Pune,3,28,Male,No,1
604,Bachelors,2016,Bangalore,3,27,Male,Yes,5
1615,Bachelors,2017,Pune,3,28,Male,No,3
25,Bachelors,2013,Bangalore,3,22,Female,Yes,0
658,Bachelors,2014,Pune,2,25,Female,No,3
3726,Masters,2017,New Delhi,2,35,Female,No,0
2379,Bachelors,2015,Pune,1,26,Female,No,4
173,Bachelors,2014,Bangalore,3,27,Female,No,5
4078,Bachelors,2013,Pune,3,35,Male,No,1
331,Bachelors,2013,Pune,2,28,Female,No,1
3806,Bachelors,2012,Bangalore,3,40,Male,Yes,2
1454,Bachelors,2014,Bangalore,3,26,Female,No,4
342,Bachelors,2012,Pune,3,24,Female,No,2
2794,Bachelors,2013,Pune,2,26,Male,Yes,4
3664,Bachelors,2018,Pune,2,31,Female,No,3
1088,Bachelors,2016,New Delhi,3,28,Female,No,2
479,Masters,2013,New Delhi,2,25,Male,No,3
727,Masters,2016,Pune,3,24,Male,No,2
4205,Bachelors,2016,Bangalore,3,40,Male,No,0
976,Bachelors,2014,Pune,3,26,Male,No,4
1751,Masters,2017,Bangalore,2,25,Male,No,3
2605,Bachelors,2013,Pune,3,30,Male,No,4
1468,Bachelors,2015,Pune,3,25,Male,No,3
1224,Bachelors,2016,Bangalore,3,26,Male,No,4
3662,Bachelors,2013,Bangalore,3,34,Male,No,5
1299,Bachelors,2013,Pune,3,28,Female,Yes,3
2615,Bachelors,2016,Bangalore,3,28,Male,Yes,3
4285,Bachelors,2018,Bangalore,3,38,Male,No,2
660,Bachelors,2016,Bangalore,3,28,Female,No,3
2118,Masters,2015,New Delhi,1,27,Male,Yes,5
2552,Bachelors,2013,Bangalore,3,27,Male,No,5
3039,Bachelors,2013,Bangalore,3,39,Male,No,0
1840,Masters,2017,New Delhi,2,26,Male,No,4
2669,PHD,2015,New Delhi,3,27,Female,No,5
2554,Bachelors,2013,Bangalore,3,30,Male,No,5
2091,Bachelors,2013,Pune,2,28,Female,No,1
1860,Bachelors,2017,Bangalore,3,24,Male,No,2
4112,Bachelors,2018,Bangalore,3,23,Male,No,1
3711,Masters,2018,New Delhi,3,38,Male,No,2
1787,Masters,2013,New Delhi,3,28,Female,No,2
2787,Bachelors,2017,Bangalore,1,30,Male,No,2
1278,Masters,2017,Pune,3,24,Female,No,2
4323,Bachelors,2012,New Delhi,3,30,Female,Yes,1
3416,Bachelors,2012,Bangalore,3,38,Female,No,4
3562,Bachelors,2012,Bangalore,3,32,Male,No,3
67,Bachelors,2014,New Delhi,3,28,Male,No,0
1728,Bachelors,2015,Pune,2,28,Female,No,5
221,Bachelors,2013,Pune,2,26,Male,No,4
3749,Bachelors,2012,Bangalore,3,33,Male,No,0
3626,Bachelors,2014,Bangalore,3,41,Male,No,5
4504,Masters,2012,New Delhi,3,37,Male,No,4
1972,Bachelors,2017,Bangalore,3,28,Male,No,5
88,Bachelors,2014,Bangalore,3,28,Male,No,4
2311,Bachelors,2013,Pune,3,29,Male,No,2
4503,Bachelors,2018,Bangalore,3,31,Male,Yes,0
2486,Masters,2013,New Delhi,2,26,Male,No,4
3790,Bachelors,2014,New Delhi,3,38,Female,No,0
3399,Bachelors,2016,Bangalore,3,38,Male,No,1
2413,Masters,2017,New Delhi,3,27,Male,Yes,5
2281,Bachelors,2017,New Delhi,3,26,Male,No,4
1705,Bachelors,2014,Bangalore,3,26,Male,No,4
4243,Bachelors,2017,Bangalore,2,25,Female,No,3
4342,Bachelors,2012,Bangalore,3,31,Male,No,0
2925,Bachelors,2013,Bangalore,3,29,Female,No,3
1143,Bachelors,2014,Bangalore,3,24,Male,No,2
397,Bachelors,2017,New Delhi,2,28,Female,No,1
4153,Bachelors,2017,Bangalore,3,33,Male,No,4
1726,Bachelors,2014,New Delhi,3,24,Female,No,2
4621,Bachelors,2015,Bangalore,3,31,Male,No,5
3911,Bachelors,2012,Bangalore,3,36,Male,No,1
4275,Masters,2013,New Delhi,2,32,Male,Yes,2
1398,Bachelors,2013,New Delhi,3,25,Female,Yes,3
3739,Bachelors,2016,New Delhi,3,33,Male,No,2
1096,Masters,2017,New Delhi,1,26,Female,No,4
3844,Bachelors,2017,Bangalore,3,31,Female,No,2
1350,Bachelors,2012,Bangalore,3,26,Female,No,4
2284,Bachelors,2015,Pune,3,26,Female,Yes,4
979,Bachelors,2016,Bangalore,1,27,Female,No,5
283,Masters,2013,New Delhi,3,27,Male,No,5
1298,Bachelors,2016,Bangalore,3,28,Male,No,2
1965,Masters,2017,New Delhi,2,28,Male,No,3
898,Bachelors,2014,Bangalore,3,24,Male,No,2
3480,Bachelors,2017,Bangalore,3,38,Female,No,2
