,LeaveOrNot
729,0
2392,0
2181,0
1926,0
1876,1
3049,0
1110,1
4166,1
3667,1
346,1
1779,1
3487,0
1515,0
4350,0
578,0
75,1
1429,1
3132,0
4129,0
2420,1
4607,0
3721,0
178,0
4162,1
3661,1
2236,0
2101,0
604,0
1615,0
25,0
658,1
3726,0
2379,1
173,0
4078,0
331,1
3806,0
1454,0
342,1
2794,0
3664,1
1088,0
479,1
727,0
4205,1
976,1
1751,0
2605,0
1468,0
1224,0
3662,0
1299,1
2615,0
4285,1
660,0
2118,1
2552,0
3039,0
1840,1
2669,0
2554,0
2091,1
1860,0
4112,1
3711,1
1787,0
2787,0
1278,0
4323,0
3416,1
3562,0
67,0
1728,1
221,0
3749,0
3626,0
4504,0
1972,0
88,0
2311,0
4503,1
2486,1
3790,0
3399,0
2413,1
2281,0
1705,0
4243,1
4342,0
2925,0
1143,0
397,0
4153,0
1726,0
4621,0
3911,0
4275,1
1398,1
3739,0
1096,0
3844,0
1350,0
2284,1
979,0
283,0
1298,0
1965,0
898,0
3480,0
4017,0
82,0
2172,0
613,1
3292,1
4631,1
2249,0
423,0
3989,0
2619,0
2927,0
1565,0
4513,1
3331,0
839,0
500,1
2029,1
2357,0
549,0
557,0
887,0
4141,1
1626,0
3299,1
4436,0
218,1
3364,1
4121,0
1138,1
209,1
4617,0
2242,0
2288,0
550,0
1424,0
2710,1
4209,0
3138,1
948,0
1652,0
4464,0
4377,0
532,1
4161,0
2834,0
3588,0
2763,1
1602,0
3035,1
639,0
4498,0
967,1
0,0
2309,0
3629,0
4564,0
3410,0
2765,0
1736,1
247,0
2195,0
2488,0
1903,1
3172,0
3590,0
3799,0
4484,1
2640,1
4355,0
2233,0
2680,0
4373,0
272,0
4643,0
1961,0
4598,1
278,0
952,1
2943,1
2096,0
2874,1
1747,1
4363,0
4304,0
4651,0
3936,0
1698,1
4388,0
2587,0
2210,0
2483,1
155,0
2510,0
985,0
3632,0
2829,0
2337,1
981,0
2575,0
2015,1
2330,1
3303,0
942,0
2576,0
3080,1
1400,0
1595,0
210,0
3344,0
1457,0
1509,0
1395,0
264,0
3226,1
1499,1
700,0
2024,0
644,1
4597,0
1405,0
1964,0
929,0
3423,1
2458,1
3211,1
2414,0
4528,0
246,1
3131,1
1758,1
4527,1
2465,0
923,0
3757,0
1185,0
268,1
669,1
4261,1
2406,0
2099,1
2610,0
2361,0
4541,0
2620,0
3017,0
648,0
543,0
4266,0
4248,1
1915,0
3351,0
259,0
2208,0
1988,0
2607,1
927,0
612,0
1543,0
1023,1
3759,0
1152,0
219,1
4157,1
485,0
3082,1
1649,0
3307,0
258,0
3859,0
386,0
847,0
3425,1
3955,0
2743,0
1477,1
3827,0
3608,1
553,0
1233,0
1127,0
2630,1
3794,0
3398,1
3572,0
1095,0
1620,0
3902,1
2282,1
1320,0
4262,0
507,1
7,1
1609,0
4073,0
3316,0
3414,1
4284,1
708,1
1450,1
2677,0
378,0
3720,0
1814,0
2266,0
678,1
773,0
3290,1
1011,0
2471,0
2917,0
3058,0
3665,0
1973,0
65,1
4039,1
4089,0
4599,0
4219,0
3616,0
679,0
4074,0
3927,1
781,0
3595,0
627,0
1749,1
3639,1
2168,0
2268,0
3160,1
2643,1
3439,0
883,0
1091,0
382,0
3379,0
3797,0
276,0
3235,1
31,0
3986,0
3047,0
3573,1
3836,0
1727,1
610,1
3774,0
570,0
2649,1
343,1
3163,0
3655,0
1702,0
4305,0
4053,1
4210,1
3309,1
1910,1
1089,1
2111,1
1135,1
2804,0
1537,0
2536,0
1945,0
841,1
1600,0
3341,0
3901,0
1517,0
965,0
4267,0
528,0
176,0
1621,1
422,0
3496,0
2342,1
4202,0
3567,0
1377,0
572,0
4613,0
2018,1
3064,0
288,1
3021,0
4008,0
3513,1
2810,1
4463,1
4098,0
3134,0
2274,1
3885,0
2256,1
2259,0
4403,0
2423,0
383,0
852,1
1880,0
370,0
2104,0
2586,0
2505,0
3959,0
3107,0
4446,0
3753,0
1105,1
4334,0
2245,0
3435,1
4565,0
141,1
4281,0
2292,1
491,0
3549,0
2053,1
2277,0
198,0
2566,0
4542,1
4512,0
1171,0
1226,0
1783,0
2283,0
1422,0
3933,0
4026,0
4198,0
1952,0
2464,0
195,0
1556,1
3814,0
874,1
3728,1
1873,1
4226,1
2057,0
3990,1
1251,0
2077,0
840,0
2686,0
581,1
4009,0
1752,0
1641,0
3295,1
3169,0
1871,0
905,1
631,0
2706,0
2721,0
1974,0
162,1
2771,0
2509,0
4187,1
413,1
617,0
3894,1
1431,0
925,0
3729,1
547,0
3007,0
4234,0
3768,0
1566,0
1592,1
4366,0
3811,1
3518,0
3795,1
3542,0
3447,0
1861,0
611,0
1336,1
2921,1
640,1
930,0
4609,1
4347,0
742,0
637,0
3910,0
3574,0
3850,1
3036,0
2714,0
3133,1
1097,0
2589,0
48,0
2189,0
2691,0
3201,0
3455,0
921,0
546,1
3195,0
3650,0
2028,1
1885,0
1642,0
3065,0
4476,0
4022,1
3182,1
4186,1
4622,0
836,0
601,0
3362,1
1582,1
4232,1
4021,0
2399,0
1070,0
1775,0
4475,1
1283,1
2668,1
4648,0
3958,0
3656,0
4031,0
3914,0
1326,0
475,1
3011,1
1651,1
3479,0
3881,0
2297,0
3651,0
1373,0
739,1
3154,1
2155,0
867,0
1140,0
997,0
1337,0
4030,1
1099,1
1132,0
3541,1
4400,1
3471,1
59,1
1938,0
2269,1
4592,1
1078,0
2555,0
3653,0
940,0
1080,0
187,0
2318,0
2085,1
4587,1
2023,1
2525,0
3527,0
3957,1
226,1
2887,0
1929,0
2672,0
4182,0
1404,0
697,0
1124,0
2453,0
4606,0
1778,0
2503,1
1037,1
3697,1
313,0
1416,1
1036,0
3676,0
1754,0
3804,0
2799,0
4177,1
3648,0
1506,0
1923,1
4451,0
3880,1
2227,1
4624,0
361,0
1134,1
3375,1
1830,0
1053,1
22,0
2066,1
1653,0
2722,0
2801,0
4362,0
3516,1
460,0
1067,1
87,0
3585,1
2331,1
282,1
462,0
212,1
2684,0
1368,0
234,0
2905,0
597,0
4120,0
3511,0
662,0
4618,1
4396,0
2789,1
3256,1
779,1
4443,0
2990,1
4638,0
2792,0
4500,1
685,0
3198,1
2417,1
2171,0
2347,0
1850,1
4088,0
1688,0
4292,0
782,0
521,0
522,1
2487,0
3441,0
3038,0
3101,0
2475,0
1511,1
1882,0
651,0
2858,0
2702,0
369,0
2323,1
118,0
2899,0
2655,1
3093,0
1613,0
4007,0
962,1
2476,0
3008,1
2653,1
4335,1
3789,0
2185,0
2696,0
2037,1
772,1
1284,1
4414,0
1414,1
1234,1
2374,0
435,1
1674,0
365,0
2333,0
231,0
3520,0
4427,0
407,0
2090,0
86,1
844,0
1031,1
3340,0
2796,1
2820,0
855,0
78,0
2247,0
4258,0
3187,1
2550,1
2547,0
3951,0
3671,0
3366,0
2992,1
2176,0
424,0
392,0
4406,0
2980,1
104,0
2741,0
1948,1
1459,0
2843,1
2460,0
2676,1
4063,0
1587,0
3406,0
1731,0
3233,1
3206,1
1791,0
1940,1
702,0
3034,0
496,0
464,0
4614,0
3983,0
172,0
4556,0
3710,0
3971,1
2260,1
2112,1
900,0
1446,1
3119,0
741,0
2293,0
3526,0
3553,0
1206,0
509,1
2304,0
2459,0
1549,1
3210,1
2202,0
2044,1
767,1
4534,0
4108,0
421,0
123,1
4328,0
2312,0
819,0
1403,1
1382,0
2148,0
1575,0
1638,1
1795,0
4482,0
399,1
2310,0
3919,1
4627,0
4371,0
1352,1
3003,0
4238,0
2130,0
982,1
456,0
3083,1
3950,0
1950,0
3937,0
3779,0
641,1
1953,1
3684,1
2647,0
2915,1
4438,1
2567,0
1884,0
389,1
2727,0
3214,1
845,0
542,1
91,0
3384,0
1979,1
3413,0
4620,1
2540,1
1676,0
1048,1
1960,0
237,1
2594,0
1133,0
1805,0
3638,1
163,1
3050,1
4550,0
2922,0
3015,0
2936,0
3168,1
3428,1
1811,1
3942,0
3970,0
3442,0
2456,0
2985,0
4156,1
4332,0
2473,1
1452,0
593,0
41,0
560,1
2978,0
2661,0
243,1
1339,1
2442,1
3835,1
4511,1
1442,0
261,1
2429,1
1689,0
1725,0
3538,0
834,0
1866,0
2010,0
340,0
1601,0
3856,0
4374,0
480,1
3828,0
4321,0
2665,0
3978,1
1766,1
4168,0
2520,1
3319,0
3497,0
4357,0
3601,1
1271,1
4532,0
4193,0
2707,0
347,0
3500,0
4307,1
4277,0
1423,1
656,0
2102,0
632,1
3459,0
3192,0
2889,1
3257,0
3135,1
1465,0
2484,0
115,1
1821,0
1494,1
2401,0
1232,1
2515,0
1153,1
3346,1
57,0
2962,1
4576,0
4600,0
1735,0
2196,0
3102,1
3289,0
3381,0
707,0
1093,0
3109,0
1376,1
72,0
1922,1
2772,0
1764,1
743,0
2521,1
1005,1
1190,1
3907,0
1125,0
1241,0
2496,0
3618,0
3006,0
998,0
1577,0
4458,1
1826,0
2875,0
4642,0
3353,0
440,0
1100,0
4521,1
649,0
1546,1
3494,1
4452,0
4137,1
630,1
672,1
1249,1
482,1
1584,0
4311,0
2659,0
1462,0
3846,0
3237,1
49,0
3886,0
2673,0
858,0
1072,0
719,0
2759,1
1660,1
1656,1
2425,1
3078,1
4432,1
4628,0
3641,0
4221,0
4425,0
3614,0
1385,0
3334,1
1399,0
1195,0
